question,answer
"Tell me about yourself.","Start with the present and tell why you are well qualified for the position. Remember that the key to all successful interviewing is to match your qualifications to what the interviewer is looking for. Before answering, try to uncover the interviewer's greatest need, want, problem or goal by asking for a more complete description of what the position entails. Follow up with second and third questions to draw out their needs. After uncovering what the employer is looking for, describe why the needs of this job bear striking parallels to tasks you've succeeded at before. Be sure to illustrate with specific examples of your responsibilities and especially your achievements, all geared to present yourself as a perfect match for the needs described."
"What are your greatest strengths?","You should have a list mentally prepared of your greatest strengths with specific examples that illustrate each strength, chosen from your most recent and impressive achievements. Once you uncover your interviewer's greatest wants and needs, choose those achievements from your list that best match up. The 10 most desirable traits employers seek are: 1) A proven track record as an achiever, especially matching the employer's needs; 2) Intelligence and management savvy; 3) Honesty, integrity, being a decent human being; 4) Good fit with corporate culture and being a team player; 5) Likeability, positive attitude, sense of humor; 6) Good communication skills; 7) Dedication and willingness to go the extra mile; 8) Definiteness of purpose and clear goals; 9) Enthusiasm and high motivation; 10) Confidence, health, and leadership."
"What are your greatest weaknesses?","Never confess a weakness or fault. Assure the interviewer that you can think of nothing that would stand in the way of your performing with excellence. Based on what they've told you about the position, you believe you'd make an outstanding match. When you hire people, you look for two things: Do they have the qualifications to do the job well, and the motivation to do it well? Everything in your background shows you have both. An alternate strategy if you don't know enough about the position: Instead of confessing a weakness, describe what you like most and like least, making sure what you like most matches the most important qualification for success, and what you like least is not essential."
"Tell me about something you did or failed to do that you now feel a little ashamed of.","Never confess a regret. Say you harbor no regrets, then add a principle or habit you practice regularly for healthy human relations. For example: At the end of each day, mentally review the day's events and conversations to take a second look at people and developments you're involved with and do a double-check of what they're likely to be feeling. Sometimes you'll see things that need more follow-up. You also like to make each person feel like a member of an elite team. If you let each team member know you expect excellence, work hard to set an example yourself, and let people know you appreciate and respect their feelings, you wind up with a highly motivated group striving for excellence rather than brooding over slights or regrets."
"Why are you leaving (or did you leave) this position?","Never badmouth your previous industry, company, board, boss, staff, employees or customers. This rule is inviolable: never be negative. If you have a job presently and aren't 100% committed to leaving, don't be afraid to say so. State honestly what you'd be hoping to find in a new spot, matching your desires to the position if you've uncovered what it's about. If you don't have a job, never lie about being fired. Describe your firing candidly, succinctly and without bitterness from the company's point-of-view, indicating you could understand why it happened and might have made the same decision yourself. This shows you are healed from the wounds and are first-class management material. For all prior positions, have brief reasons prepared: more money, opportunity, responsibility or growth."
"The Silent Treatment - What do you do when the interviewer just stares at you in silence after you answer?","Like a primitive tribal mask, the Silent Treatment loses all its power to frighten you once you refuse to be intimidated. If your interviewer pulls it, keep quiet yourself for a while and then ask, with sincere politeness and not a trace of sarcasm, 'Is there anything else I can fill in on that point?' Don't let the Silent Treatment intimidate you into talking excessively, because you could easily talk yourself out of the position."
"Why should I hire you?","By now you should know the employer's greatest needs and desires. This question gives you a big advantage because you will give better reasons for hiring you than anyone else, reasons tied directly to their needs. Walk through each of the position's requirements as you understand them, and follow each with a reason why you meet that requirement so well. Every one of these selling points (their need matched by your qualifications) runs up your score. This is your best opportunity to outsell your competition."
"Aren't you overqualified for this position?","Agree on the importance of this qualification, but explain that your strength may be greater than your resume indicates. When this strength is added to your other strengths, it's really your combination of qualifications that's most important. Then shift focus to review your greatest strengths that match up most favorably with the company's most urgently-felt wants and needs. You recognize the job market is tight, understand supply and demand. You could start contributing right away, perhaps faster than someone less experienced. The company gets all the value of your training and experience without paying extra for it. From your side, you're unemployed and want to work very much. The position is exactly what you love to do and are best at. You're looking to make a long-term commitment. If you perform with excellence, other opportunities will open up."
"Where do you see yourself five years from now?","Reassure your interviewer that you're looking to make a long-term commitment. This position entails exactly what you're looking for and what you do extremely well. In terms of your future career path, you're confident that if you do your work with excellence, opportunities will inevitably open up for you. It's always been that way in your career, and you're confident you'll have similar opportunities here."
"Describe your ideal company, location and job.","The only right answer is to describe what this company is offering, being sure to make your answer believable with specific reasons, stated with sincerity, why each quality represented by this opportunity is attractive to you. If you're coming from a company that's a leader in its field or a glamorous company, remember the interviewer may have an 'Avis complex' - feeling defensive about being second best. Go out of your way to put their virtues high on your list, providing credible reasons for wanting these qualities."
